id,conversation_id,customer_message,predicted_intent,action,generated_reply,human_groundedness,human_helpfulness,human_correctness,human_relevance,human_brand_consistency,human_unsupported_claims,human_escalation_appropriateness,human_overall,llm_groundedness,llm_helpfulness,llm_relevance,llm_overall,status
human_eval_001,conv_128774,"[BRAND] I have already send you all guys many times call, email, Fb post talk But i'm not getting proper response from your side. IN many link i have posted provide by [USER] So, plz don't make me fool return my money.",refund_return_request,ESCALATE,"Hello! [USER] Could you confirm receiving a correspondence from our social media team? If not, kindly share your details here: [URL] and I'll contact you soon. ^GK",,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_002,conv_205981,[BRAND] [BRAND] and what about this one 👉order id #4__credit_card__,other_general,ESCALATE,"Hello! [USER] I couldn't comprehend your concern. Could you please elaborate and we will assist you accordingly. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_003,conv_205981,[BRAND] [BRAND] and what about this one 👉order id #4__credit_card__,other_general,ESCALATE,"Hello! [USER] I couldn't comprehend your concern. Could you please elaborate and we will assist you accordingly. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_004,conv_205981,[BRAND] [BRAND] and what about this one 👉order id #4__credit_card__,other_general,ESCALATE,"Hello! [USER] I couldn't comprehend your concern. Could you please elaborate and we will assist you accordingly. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_005,conv_179426,[BRAND] I'll try this and make an inform as soon,other_general,ESCALATE,"Hello! [USER] Do not worry, Jay. If you've shared your details in the link, we'll check and get back to you with an update soon. ^MK",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_006,conv_69631,"[BRAND] Order# 407-8809404-0041923 why prime order taking 7 days after dispatch? It was mentioned next day delivery, now it's showing next Wednesday. Immediately rectify it. I want it today.",delivery_issue,ESCALATE,"Hello! [USER] Hi, during this busy period of Black Friday, some deliveries may take slightly longer than usual. Apologies if this has caused any inconvenience. Please check out this link for more info: [URL] ^JC",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_007,conv_232401,En fait #Amazonprime c'est surtout de la merde non? Ça existe un livreur qui fait son taf à Paris ou c'est une utopie? [BRAND] [USER],other_general,ESCALATE,"Hello! [USER] Dans un souci permanent de qualité et d’efficacité, je vous invite à nous communiquer le numéro de suivi de votre commande. ^SB",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_008,conv_76053,[BRAND] It was originally meant to be 28th and then changed to 29th and last night was changed again.,other_general,ESCALATE,Hello! [USER] Sorry about the delay. Could you kindly let us know the revised date? ^NS,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_009,conv_8511,[BRAND] UPS supposed to pick up a return package yesterday and bring return label... never showed.,refund_return_request,ESCALATE,Hello! [USER] Oh no! It sounds like you may qualify for our A-to-z Guarantee Claim. You can read more on this here:[URL] 1/2,,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_010,conv_77589,"[BRAND] No, doveva essere spedito il 28 novembre. Come posso fare se non riesco a essere presente alla consegna?",other_general,ESCALATE,"Hello! [USER] Nos envie uma foto assim você receber seu pedido, para dividir a felicidade! 🎉 ^CR",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
