golden_id,conversation_id,customer_message,exact_match_in_train,near_match_in_train,golden_in_test_split,leakage_status
gold_001,conv_69631,"[BRAND] Order# 407-8809404-0041923 why prime order taking 7 days after dispatch? It was mentioned next day delivery, now it's showing next Wednesday. Immediately rectify it. I want it today.",False,False,True,CLEAN_HOLDOUT
gold_002,conv_65887,[BRAND] Have already cancelled order mentioned since there was no meaning in delivered after valuable time. We live in a very much time respecting world and I wish this can be improved later by [USER] and delivery team. Unfortunately nobody called up for reason of order cancellation.,False,False,True,CLEAN_HOLDOUT
gold_003,conv_76001,"[BRAND] The item says “Delivery Date Pending”, I guessed you are out of stock.",False,False,True,CLEAN_HOLDOUT
gold_004,conv_54367,[BRAND] It says its suppose to arrive today at 8 but no updates since 1 pm yesterday and it’s suppose to come USPS,False,False,True,CLEAN_HOLDOUT
gold_005,conv_109780,"[BRAND] Oh, I always have issues with Amazon couriers. It's super sketch just to have a random dude show up with an Amazon package for you with no identifying logo. And why does it matter if it's 3rd party or not? It's still your platform, your responsibility.",False,False,True,CLEAN_HOLDOUT
gold_006,conv_37577,[BRAND] ... Leaves a rather sour taste in the mouth of a customer who pays for prime delivery. Not even like my house is hard to find... Unimpressed,False,False,True,CLEAN_HOLDOUT
gold_007,conv_39587,[BRAND] It says shipped with AMZL US.,False,False,True,CLEAN_HOLDOUT
gold_008,conv_75871,"[BRAND] Didn't get the package today also, amazed. i waited till 7:15 pm though my office closes at 6 pm. Thank u very much",False,False,True,CLEAN_HOLDOUT
gold_009,conv_234145,[BRAND] NO IT WAS SHIPPED TO ME THE OTHER ADDRESS I TRIED TO PUT IN WAS WIFES.,False,False,True,CLEAN_HOLDOUT
gold_010,conv_78688,[BRAND] what is going on with your prime delivery over the last few orders I have done your supposed one day delivery has been 3 or 4 not sure why I pay for Amazon Prime when I don’t get what I pay for!,False,False,True,CLEAN_HOLDOUT
gold_011,conv_89316,"If I hear “it’s not our fault your package is late” one more time from [USER], I’m done with #Prime. [BRAND]",False,False,True,CLEAN_HOLDOUT
gold_012,conv_43675,"[BRAND] I have 3 packages, 2 of which has shipped since Nov 12th, and 1 shipped since Nov 16",False,False,True,CLEAN_HOLDOUT
gold_013,conv_115898,[BRAND] In the latest incident I've been advised that the parcel had been 'accidentally' scanned as delivered and that it has been escalated with the delivery company. Previous time I was told it was being escaped as they had marked it as 'attempted delivery' when no one had been.,False,False,True,CLEAN_HOLDOUT
gold_014,conv_236638,Delayed Delivery even though when the product was to arrive yesterday #amazonstrikesback #Amazon [BRAND] [USER],False,False,True,CLEAN_HOLDOUT
gold_015,conv_62378,[BRAND] you will in 30 minutes. But that's irrelevant. It's showing that it shipped ground. That should be enough to reship. But no.,False,False,True,CLEAN_HOLDOUT
gold_016,conv_132476,[BRAND] Theres also no valid reason at all listed in your delivery restrictions for these products. They aren't over 30kg. They don't include batteries and they aren't going to explode.,False,False,True,CLEAN_HOLDOUT
gold_017,conv_120271,"[BRAND] due for delivery by 8pm, but not out for delivery yet? Really? I find one of these statements on the same screen hard to believe. [USER] [URL]",False,False,True,CLEAN_HOLDOUT
gold_018,conv_22550,[USER] [BRAND] Order has not been picked up niether any update from Amazon or courier partner...,False,False,True,CLEAN_HOLDOUT
gold_019,conv_134988,[BRAND] I was sent regular emails that it was with the courier and It will be delivered yesterday. That parcel is supposed to be on an international flight now to someone that is sick. The fact that I was lied to and made to wait all day for something that wasn't even out for delivery,False,False,True,CLEAN_HOLDOUT
gold_020,conv_71882,"[BRAND] Too long to write but when I called it was more of a friendly inquiry and when I hung up I was downright confused, angered and don't know if or when my order will arrive at this point. Horrible call.",False,False,True,CLEAN_HOLDOUT
gold_021,conv_89190,"[BRAND] I already emailed and got a copy paste response also listed the wrong product and then credited with £5, all i wanna know is where my package is.",False,False,True,CLEAN_HOLDOUT
gold_022,conv_31834,"[BRAND] one order was suppose to be delivered by 30th october , still no tracking available for the same as on 1/11/17",False,False,True,CLEAN_HOLDOUT
gold_023,conv_128774,"[BRAND] I have already send you all guys many times call, email, Fb post talk But i'm not getting proper response from your side. IN many link i have posted provide by [USER] So, plz don't make me fool return my money.",False,False,True,CLEAN_HOLDOUT
gold_024,conv_8511,[BRAND] UPS supposed to pick up a return package yesterday and bring return label... never showed.,False,False,True,CLEAN_HOLDOUT
gold_025,conv_234559,"[USER] [BRAND] if I have ordered a product in Prime and delivery is to be provided in one day, but isn't. I should get a refund...",False,False,True,CLEAN_HOLDOUT
gold_026,conv_206045,"[BRAND] That, my dear [BRAND], is a lot of bull. Spoken to last mile delivery team. They're waiting for exec to return to work for an update 😂",False,False,True,CLEAN_HOLDOUT
gold_027,conv_183251,[BRAND] it says ‘return requested’. I was told I have to wait until it’s back with you before I’m given a refund.,False,False,True,CLEAN_HOLDOUT
gold_028,conv_78734,"[BRAND] Hey, I placed an order as a gift, the order says it was left in secure location but my friend hasn't received. No option to contact seller on my order page. What can I do to get refund/other one sent? Thanks",False,False,True,CLEAN_HOLDOUT
gold_029,conv_180238,[BRAND] [USER] now you are having all the details with screenshots of conversation shared with you as told by you return my money comiited on 8t [URL],False,False,True,CLEAN_HOLDOUT
gold_030,conv_129223,[BRAND] I don't know..... Coz 5 minutes back it was on hold and after i mailed to __email__ ...now i got message in my app that my refund is processed... Does it means now my account is unholded?,False,False,True,CLEAN_HOLDOUT
gold_031,conv_107290,"Hi Jeff, I have purchased the wrong mobile set from amazon. Now, i want to return my mobile (order no 404-9391432-5602714). But amazon support team is saying that, they can't return. This mobile set is not useful for me. Please help me [USER] [USER] [BRAND]",False,False,True,CLEAN_HOLDOUT
gold_032,conv_107290,"Hi Jeff, I have purchased the wrong mobile set from amazon. Now, i want to return my mobile (order no 404-9391432-5602714). But amazon support team is saying that, they can't return. This mobile set is not useful for me. Please help me [USER] [USER] [BRAND]",False,False,True,CLEAN_HOLDOUT
gold_033,conv_231853,"[BRAND] Hi, I""ve talked to your customer executive and I'm not satisfied with the response. As they were saying it is not eligible for return.",False,False,True,CLEAN_HOLDOUT
gold_034,conv_231853,"[BRAND] Hi, I""ve talked to your customer executive and I'm not satisfied with the response. As they were saying it is not eligible for return.",False,False,True,CLEAN_HOLDOUT
gold_035,conv_19118,[BRAND] can u ready for return pick up i receive damage product,False,False,True,CLEAN_HOLDOUT
gold_036,conv_166359,[BRAND] Ok i sent you an email please put the money back in the bank today it needs to go back in no later than today tjanks keep me posted,False,False,True,CLEAN_HOLDOUT
gold_037,conv_78750,[BRAND] So I need to wait for the late item that I no longer need and return it? I needed to send it as a gift out of country n missed the cut off,False,False,True,CLEAN_HOLDOUT
gold_038,conv_47873,[BRAND] All it shows is the company I ordered from...I'm assuming third party. When I checked their profile on return policy. It says they follow,False,False,True,CLEAN_HOLDOUT
gold_039,conv_222644,"[BRAND] Issue is still not resolve fully. When I contacted the seller for refund, he asked me to contact you. Pls refund the full amount ASAP",False,False,True,CLEAN_HOLDOUT
gold_040,conv_183257,[BRAND] my Prime delivery was due Sunday. Ordered Saturday. Then I was told today. Still no delivery. If it’s lost I won’t get refund!,False,False,True,CLEAN_HOLDOUT
gold_041,conv_38120,My product Return was cancelled without any information. [BRAND] [USER] why??,False,False,True,CLEAN_HOLDOUT
gold_042,conv_91393,[BRAND] How can you find my order of i didnt ordered it!! My brother ordered it for me and i received a defective one. And you are not listening at all. Provide me a refund!! This is going to be my last tweet if you are not going to solve [USER],False,False,True,CLEAN_HOLDOUT
gold_043,conv_30520,[BRAND] Your return pickup for 407-4463037-6609940 has been scheduled for 02-Nov between 1-4PM. Why am I called that it will be picked in next 1 hr?,False,False,True,CLEAN_HOLDOUT
gold_044,conv_30520,[BRAND] Your return pickup for 407-4463037-6609940 has been scheduled for 02-Nov between 1-4PM. Why am I called that it will be picked in next 1 hr?,False,False,True,CLEAN_HOLDOUT
gold_045,conv_36567,[BRAND] Hi I’ve had a parcel go missing I’ve already informed Royal Mail but they said I have to let you know that’s it’s gone missing is order number 204-0980251-0540346 do I have to do anything your end or nah??,False,False,True,CLEAN_HOLDOUT
gold_046,conv_236652,[BRAND] I can’t wait I had to buy one for the book store I was doing my hw and couldn’t complete it Bc there were missing pages,False,False,True,CLEAN_HOLDOUT
gold_047,conv_205725,[BRAND] that's real nice and all but my book is still damaged 🙃,False,False,True,CLEAN_HOLDOUT
gold_048,conv_78686,[BRAND] I know you are missing them and I want to know why as the whole idea of prime is for next day! The order I have placed tonight is expected to be delivered on Monday so definitely not next day! Last weeks were 4 days too it’s not good!,False,False,True,CLEAN_HOLDOUT
gold_049,conv_57468,"[BRAND] Another day, another bent vinyl from [USER]. Do you have any quality control before sending out damaged products? [URL]",False,False,True,CLEAN_HOLDOUT
gold_050,conv_224796,[USER] [BRAND] How many times I can avail 15% cashback through amazon Pay? Is it for only one order? Missing from T&C.,False,False,True,CLEAN_HOLDOUT
